Date,AQI,Rhumidity,Wind Speed
2017-09-03,2.4331,45.9167,6.0292
2017-09-02,3.7765,57.0417,6.4167
2017-09-01,3.8378,65.5417,6.9875
2017-08-31,4.4182,43.25,5.5875
2017-08-30,4.6642,51.0833,4.9583
2017-08-29,2.3941,44.5417,4.7667
2017-08-28,2.5427,43.75,5.3208
2017-08-27,2.86,58.3333,8.8583
2017-08-26,2.621,42.9167,5.9125
2017-08-25,2.4028,32.3333,7.1167
2017-08-24,2.8347,33.6667,7.8208
2017-08-23,2.6441,48.5,3.8667
2017-08-22,2.3643,52.375,7.4833
2017-08-21,2.5421,42.0833,6.0667
2017-08-20,2.9003,45.7917,6.0667
2017-08-19,2.5903,53.7917,3.9958
2017-08-18,3.2727,49.875,8.8458
2017-08-17,3.862,46.6667,5.8
2017-08-16,3.5498,46.1667,6.0167
2017-08-15,3.5541,50.7391,5.2083
2017-08-14,4.0519,46,5.3708
2017-08-13,4.0279,57.25,7.0792
2017-08-12,3.1712,84,9.175
2017-08-11,3.0485,53.5833,5.2783
2017-08-10,2.9657,48.0833,5.5792
2017-08-09,2.7505,50.8333,5.3652
2017-08-08,2.6527,55.125,5.6632
2017-08-07,2.7651,56.5833,7.8125
2017-08-06,2.5393,69.4167,6.75
2017-08-05,2.2329,62.625,4.1458
2017-08-04,2.6687,56.6667,5.3625
2017-08-03,2.4726,71.0417,5.4292
2017-08-02,2.3117,66.4583,3.4625
2017-08-01,2.5162,52.375,6.2208
2017-07-31,4.1514,67.2083,5.225
2017-07-30,3.6587,70,4.0391
2017-07-29,2.8938,63.75,15.9043
2017-07-28,2.904,53.9167,6.3043
2017-07-27,3.3367,54.125,6.4167
2017-07-26,2.6542,51.125,5.725
2017-07-25,2.3758,37.7917,4.9
2017-07-24,2.3407,42.375,7.9208
2017-07-23,2.4084,52.375,5.4958
2017-07-22,2.3033,57.1667,7.5708
2017-07-21,2.6955,46.7917,9.35
2017-07-20,3.6017,44.5,4.8542
2017-07-19,4.1524,40.375,5.9875
2017-07-18,2.5355,47.9167,8.5417
2017-07-17,3.8516,50.4583,9.4167
2017-07-16,3.5865,50.125,7.6958
2017-07-15,2.8797,52.875,10.5333
2017-07-14,3.5524,53.2083,10.7458
2017-07-13,3.2752,47.5417,5.9792
2017-07-12,3.0865,51.5833,4.1167
2017-07-11,2.616,47.2083,4.95
2017-07-10,2.8359,69.3333,7.6667
2017-07-09,3.3774,81.5417,9.0542
2017-07-08,3.4386,75.3333,8.3583
2017-07-07,3.092,55.8333,6.7875
2017-07-06,3.1858,55.9167,6.0958
2017-07-05,2.9463,44.25,7.6917
2017-07-04,2.565,46.25,7.1292
2017-07-03,2.8917,46.375,5.0333
2017-07-02,2.746,59.5833,7.425
2017-07-01,2.6716,63.25,6.6375
2017-06-30,2.7418,56.4167,4.0833
2017-06-29,2.6666,63.0833,7.9875
2017-06-28,2.4067,46.875,7.4042
2017-06-27,3.0792,57.4167,7.9958
2017-06-26,2.6829,60.6667,6.325
2017-06-25,2.6849,49.875,6.9208
2017-06-24,2.6419,44.9167,7.3292
2017-06-23,2.5635,50.625,6.3667
2017-06-22,2.5284,51.5,10.0208
2017-06-21,3.151,54.875,8.075
2017-06-20,2.8908,46.3333,8.8
2017-06-19,2.6728,44.4167,8.6542
2017-06-18,2.942,41.2083,5.1292
2017-06-17,2.5882,51.2917,7.1083
2017-06-16,2.3077,42.2083,12.5458
2017-06-15,2.5903,53.75,11.55
2017-06-14,2.3527,46.625,11.1167
2017-06-13,2.2844,46.7917,7.9125
2017-06-12,2.6396,74.5417,11.4875
2017-06-11,2.4748,74.2083,6.5792
2017-06-10,2.5222,56.5,10.65
2017-06-09,2.8667,54.5833,6.9417
2017-06-08,2.7979,73.7917,8.7708
2017-06-07,3.0004,57.6667,10.6818
2017-06-06,2.835,59.5417,7.3
2017-06-05,2.9286,49.25,7.125
2017-06-04,3.1365,53.0417,10.675
2017-06-03,3.1384,59.6667,11.2125
2017-06-02,3.1157,52.4583,7.7292
2017-06-01,3.087,33.875,6.9958
2017-05-31,2.9159,37.7917,9.6208
2017-05-30,2.7944,49.0417,9.2583
2017-05-29,3.0056,45,7.85
2017-05-28,3.0155,48.7083,7.1
2017-05-27,2.6893,42.875,16.4375
2017-05-26,2.3443,45.375,6.6542
2017-05-25,2.4913,38.9167,8.0333
2017-05-24,3.0341,48,7.1125
2017-05-23,2.7966,60.4583,6.4875
2017-05-22,3.2398,67.625,4.5667
2017-05-21,2.9836,35.75,8.5667
2017-05-20,2.8436,35.0833,8.8875
2017-05-19,2.5099,36.3333,19.1542
2017-05-18,2.3793,44.7917,20.4
2017-05-17,1.7434,52.0417,10.2042
2017-05-16,2.5024,57.7083,7.0042
2017-05-15,2.7223,82.8571,8.9167
2017-05-14,2.6584,68.7917,6.6375
2017-05-13,2.9657,51.625,5.7542
2017-05-12,2.7704,57.9167,5.6583
2017-05-11,2.6777,55.4167,6.5
2017-05-10,2.7802,58.6667,6.7375
2017-05-09,3.1491,51.7083,6.9542
2017-05-08,2.8752,46.4583,5.6083
2017-05-07,3.1019,47.5417,9.5667
2017-05-06,2.6501,41.375,8.0542
2017-05-05,2.4043,63.625,8.4917
2017-05-04,2.4752,50.3333,4.4208
2017-05-03,2.7566,47.2083,7.4417
2017-05-02,2.6512,37.2083,7.1875
2017-05-01,2.8213,45.2917,9.0417
2017-04-30,3.0304,53.9167,10.2333
2017-04-29,2.8525,48.8333,8.2
2017-04-28,2.7718,55.2917,7.2333
2017-04-27,2.5024,54.6667,8.975
2017-04-26,2.2066,71.9167,7.0875
2017-04-25,2.6006,78,6.525
2017-04-24,2.0792,85.0833,8.975
2017-04-23,2.2025,85.0833,6.4417
2017-04-22,2.5056,92.9583,5.925
2017-04-21,3.0693,86.0833,4.3
2017-04-20,3.1617,71.6667,5.9333
2017-04-19,2.792,71.375,7.0583
2017-04-18,2.3892,52.375,5.1042
2017-04-17,2.5028,64.8333,5.1625
2017-04-16,2.7924,66.875,6.1792
2017-04-15,2.4537,54.625,7.7958
2017-04-14,2.4686,66,7.6583
2017-04-13,2.1176,83.4583,5.6792
2017-04-12,2.0572,69.625,5.2083
2017-04-11,2.7815,92.9167,6.35
2017-04-10,2.9271,74.2083,9.4125
2017-04-09,2.5387,74.75,6.6333
2017-04-08,2.8585,54.7083,9.7375
2017-04-07,2.5598,82.5,5.5458
2017-04-06,2.8968,57.75,5.2042
2017-04-05,2.6185,65.2083,6.6583
2017-04-04,2.669,42.125,8.9583
2017-04-03,2.8022,43.2273,6.1458
2017-04-02,2.5594,49.1667,7.1792
2017-04-01,2.6477,62.4167,4.45
2017-03-31,2.5668,91.75,8.6125
2017-03-30,2.5753,55.9167,5.8542
2017-03-29,2.667,61.625,7.9208
2017-03-28,2.7652,69.5417,8.7958
2017-03-27,2.6955,53.875,5.5167
2017-03-26,2.8731,50.8333,9.4458
2017-03-25,3.0677,55.5,8.3375
2017-03-24,2.7943,43.4167,10.8333
2017-03-23,2.6022,40.9583,6.8542
2017-03-22,2.4212,64.1667,8.3708
2017-03-21,2.4218,60.7083,4.6083
2017-03-20,2.7718,62.8333,7.2958
2017-03-19,3.1019,74.7917,12.125
2017-03-18,2.603,64.2917,7.375
2017-03-17,2.6762,49.75,9.1292
2017-03-16,2.9961,68.2083,9.4083
2017-03-15,2.4975,69.2917,12.4208
2017-03-14,2.5165,77.3333,7.9625
2017-03-13,2.5545,68.3913,11.6833
2017-03-12,2.6027,73.7083,14.5625
2017-03-11,2.3832,67.1667,5.65
2017-03-10,2.3529,78.75,7.4792
2017-03-09,2.3197,84.2083,5.3958
2017-03-08,2.3593,79.5833,5.025
2017-03-07,2.329,77.2083,7.6417
2017-03-06,2.3119,81.9583,6.925
2017-03-05,2.1284,75.7917,6.4167
2017-03-04,2.3616,79,5.8625
2017-03-03,2.8135,86.0833,5.9083
2017-03-02,2.3556,86.1667,6.7167
2017-03-01,2.7184,53.5833,6.4458
2017-02-28,2.4201,72.9583,4.6833
2017-02-27,2.4026,72.2083,4.425
2017-02-26,2.8688,73.4583,7.05
2017-02-25,2.43,75.3333,12.3833
2017-02-24,2.3657,80.375,4.9167
2017-02-23,2.3441,81.75,6.2583
2017-02-22,2.6667,89.5833,6.3708
2017-02-21,2.8668,86.3333,4.1375
2017-02-20,2.4457,88.1667,7.6583
2017-02-19,2.2539,90.7917,5.8542
2017-02-18,2.1357,91.0417,6.95
2017-02-17,2.9469,92.75,5.6083
2017-02-16,2.5965,89.5833,5.9167
2017-02-15,2.3251,51.2083,3.7
2017-02-14,2.7066,60.9167,3.7542
2017-02-13,2.7293,55.5,3.4083
2017-02-12,3.2628,59.9167,4.8542
2017-02-11,2.9678,55.9167,7.5917
2017-02-10,2.6977,43.375,6.075
2017-02-09,3.1413,57.25,5.2917
2017-02-08,2.8504,73.2917,5.4292
2017-02-07,2.1737,79.5,8.5792
2017-02-06,2.1705,71.5833,16
2017-02-05,2.1249,75.1667,11.9042
2017-02-04,1.8007,81,6.1333
2017-02-03,2.3757,84.7917,3.4917
2017-02-02,2.4047,80.25,7.7167
2017-02-01,2.5319,79.4583,6.4917
2017-01-31,2.6687,65.4167,5.1917
2017-01-30,2.8213,79.125,4.1792
2017-01-29,3.2708,63,4.8833
2017-01-28,3.0977,54.125,7.8833
2017-01-27,2.5734,33.6667,7.075
2017-01-26,2.4513,41.5833,8.3333
2017-01-25,2.1639,54.5652,10.6583
2017-01-24,2.4071,61.4167,9.6333
2017-01-23,3.1605,66.15,15.85
2017-01-22,2.8954,85.2917,13.5833
2017-01-21,2.3222,96.5833,11.3217
2017-01-20,2.6865,98.4167,10.6292
2017-01-19,2.5934,76.375,6.58
2017-01-18,2.6984,60.4583,5.2125
2017-01-17,2.674,61.0417,3.3833
2017-01-16,2.5922,71.25,3.1875
2017-01-15,2.8626,60.0833,7.4
2017-01-14,2.7223,61.3333,5.4083
2017-01-13,2.5794,53.9583,6.2958
2017-01-12,2.3632,57.7083,3.6792
2017-01-11,2.2357,58.9583,4.3833
2017-01-10,2.4096,75.2174,6.7625
2017-01-09,2.0204,72.9167,11.5
2017-01-08,2.2491,81.6667,10.0083
2017-01-07,2.7896,79.1667,6.425
2017-01-06,2.6013,85.5417,6.9391
2017-01-05,2.2033,87.5,10.9042
2017-01-04,2.2291,91.2083,5.975
2017-01-03,2.0983,84,7.9375
2017-01-02,2.1064,73.9167,6.3917
2017-01-01,2.556,78.7917,8.0833
2016-12-31,2.4162,85.1667,6.3833
2016-12-30,2.4488,86.8333,6.1375
2016-12-29,2.4465,85.2917,11.4458
2016-12-28,2.8461,77.0833,8.7333
2016-12-27,2.7058,61.8333,6.5292
2016-12-26,2.5254,46.5833,7.9625
2016-12-25,2.1551,50.5,3.975
2016-12-24,2.1654,73.0833,6.2208
2016-12-23,2.3246,85.7083,5.6583
2016-12-22,2.843,91.3333,16.4833
2016-12-21,2.62,90.0833,14.5917
2016-12-20,2.587,38.4167,6.3042
2016-12-19,3.0194,41.3333,5.2958
2016-12-18,2.9533,49.125,5.0833
2016-12-17,2.4455,41.2917,4.7792
2016-12-16,2.689,48.5417,10.7667
2016-12-15,2.2188,62.9167,9.3708
2016-12-14,2.3943,80.1667,8.6083
2016-12-13,2.3451,82.2083,24.4292
2016-12-12,2.0741,68,17.95
2016-12-11,2.2963,71.1667,8.1292
2016-12-10,2.0723,79.6667,6.3333
2016-12-09,2.2622,78.125,7.8667
2016-12-08,2.1775,87.3333,7.6458
2016-12-07,2.1904,84.4583,9.3125
2016-12-06,2.3325,83.625,7.8125
2016-12-05,2.2644,77.5,7.4083
2016-12-04,2.4684,70.875,5.0167
2016-12-03,2.3345,76.0833,7.5583
2016-12-02,2.1786,85.0833,6.0875
2016-12-01,2.0454,53.0417,7.3417
2016-11-30,2.4854,75.5417,11.8583
2016-11-29,2.1809,91.4583,10.1958
2016-11-28,2.094,94.7083,7.0833
2016-11-27,2.3049,71.8333,9.8292
2016-11-26,2.3219,82.25,8.2833
2016-11-25,2.5394,75.8333,6.2292
2016-11-24,2.5022,78.125,3.7042
2016-11-23,2.3382,50.0833,5.7708
2016-11-22,2.2576,53.1667,5.35
2016-11-21,1.8351,87.25,5.4667
2016-11-20,2.0398,88,4.4583
2016-11-19,1.8257,66.2727,11.8583
2016-11-18,2.2845,90.0833,6.775
2016-11-17,1.7701,96.1667,3.4958
2016-11-16,2.1722,95.0417,3.0958
2016-11-15,2.2124,93.4762,9.8227
2016-11-14,2.4513,89.2917,3.0875
2016-11-13,2.3917,91.5,5.2167
2016-11-12,2.3224,60.9167,7.3792
2016-11-11,2.4594,59.2083,6.019
2016-11-10,2.0311,61.9167,5.7792
2016-11-09,2.1699,66.7083,4.4708
2016-11-08,2.2873,79.8333,9.1708
2016-11-07,2.1394,63.2917,5.5375
2016-11-06,2.0222,55.375,6.5375
2016-11-05,2.292,65.7273,3.6625
2016-11-04,2.4812,77.6957,6.5333
2016-11-03,2.4098,49.3333,4.9833
